"initpop","beta","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,0.325,1825,0.00584639383393682,0.00513779077799952,0.00663907619802343,9.03342366757001e-05,0.0479128856624319,64.0880503144654,1,528,10568.6949685535,10449,10690,10957.6320754717,10873,11070,318,318
20000,0.325,1825,0.00781891780331364,0.00678167477885534,0.00912288970610014,4.53988287102193e-05,0.0911120222313334,171.446469248292,1,2000,21139.437357631,20955,21316,21916.7198177677,21767,22074,439,439
30000,0.325,1825,0.00970768939476613,0.00841035450186552,0.0110915731811414,3.02773404384159e-05,0.102903656906816,319.168032786885,1,3388,31707.5983606557,31487,31899,32873.7745901639,32699,33054,488,488
40000,0.325,1825,0.0157879386799965,0.013754588173493,0.0177879649742279,2.2806577416927e-05,0.111167036537098,691.931313131313,1,4859,42276.6424242424,42043,42520,43830.9878787879,43617,44037,495,495
50000,0.325,1825,0.0217261619727704,0.0191696291215159,0.0244227650215592,1.82705132187163e-05,0.160724391624222,1190.42771084337,1,8804,52845.718875502,52579,53086,54791.5602409639,54558,55026,495,498
60000,0.325,1825,0.0378958879599323,0.0339497674262938,0.0420982312162068,3.04316732855556e-05,0.164792295266831,2491.77108433735,2,10814,63413.3273092369,63130,63694,65749.5040160643,65517,66013,489,498
70000,0.325,1825,0.0518184643021607,0.0473192139284586,0.0562584832845968,1.30106687483737e-05,0.167118114337804,3974.86,1,12833,73980.25,73669,74270,76707.97,76434,76965,467,500
80000,0.325,1825,0.0690374186338924,0.0635569796727597,0.0741392991578309,2.27995576885808e-05,0.176745568216886,6052.13,2,15464,84545.054,84216,84861,87666.224,87398,87954,431,500
90000,0.325,1825,0.0863684931805786,0.0805666229171147,0.0921198426439536,0.000212709924437332,0.17887496581136,8518.124,21,17658,95111.096,94765,95483,98624.584,98300,98941,368,500
1e+05,0.325,1825,0.100594914474891,0.094556255516067,0.106347011517267,0.000146250948345993,0.182218936531406,11023.328,16,19965,105675.08,105329,106087,109582.15,109263,109901,332,500
150000,0.325,1825,0.154131276599622,0.148758229072067,0.158679663307652,0.0013140204768191,0.197314407691887,25335.558,216,32445,158496.198,158062,158948,164373.744,163995,164797,123,500
2e+05,0.325,1825,0.180113968860335,0.177294150225744,0.182717723066932,0.00163768406839042,0.205266520627966,39474.676,359,44978,211315.362,210817,211834,219165.344,218719,219633,33,500
250000,0.325,1825,0.188918523095123,0.186544048144363,0.190744160156341,0.00177817049259339,0.207790690883607,51755.714,487,56928,264139.528,263558,264731,273956.508,273456,274468,11,500
3e+05,0.325,1825,0.195487459203658,0.194283358970607,0.19627364353852,0.00269937978173673,0.213574789936403,64266.288,887,70255,316964.03,316349,317623,328748.928,328198,329301,2,500
350000,0.325,1825,0.197660568058091,0.196179098064479,0.198834804290819,0.00242210292764196,0.216250801411527,75810.682,929,82975,369788.128,369126,370456,383540.55,382961,384170,3,500
