"initpop","d","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,0,1825,0.0292812399910311,0.0257215850534556,0.0331890190136505,9.01875901875902e-05,0.157899551733602,321.364779874214,1,1726,10975.4779874214,10886,11088,10976.0408805031,10886,11088,318,318
20000,0,1825,0.0475144388497746,0.0429769493242458,0.0522721661219035,4.52550119925782e-05,0.231032437611205,1043.05011389522,1,5064,21951.1002277904,21808,22100,21953.145785877,21808,22109,439,439
30000,0,1825,0.0724372086217269,0.0667134876496236,0.0783001748454258,3.03030303030303e-05,0.223789160828557,2385.38114754098,1,7379,32925.137295082,32740,33111,32929.643442623,32749,33119,472,488
40000,0,1825,0.119008679459946,0.111984828975086,0.126125410007783,2.27738556137554e-05,0.239561289735363,5224.85858585859,1,10528,43894.5373737374,43680,44104,43904.5474747475,43687,44110,426,495
50000,0,1825,0.149188371210156,0.142408956892949,0.155601283391626,1.81940578207158e-05,0.230895256125532,8187.97389558233,1,12684,54867.859437751,54627,55103,54883.2329317269,54649,55117,309,498
60000,0,1825,0.174939201423577,0.169034159857149,0.18067972482986,3.03831312855103e-05,0.244742831133364,11521.3795180723,2,16131,65837.8373493976,65594,66104,65859.7991967871,65625,66120,236,498
70000,0,1825,0.192540972653795,0.187675640397556,0.197123580009869,0.00196594104780752,0.233827615758174,14794.244,151,18008,76809.21,76537,77083,76837.096,76562,77113,145,500
80000,0,1825,0.207347506319793,0.203855434660785,0.210875466100221,0.00128757320936168,0.235737425404945,18207.922,113,20739,87779,87493,88082,87812.992,87530,88106,85,500
90000,0,1825,0.213509540227525,0.21110096336064,0.215774447145926,3.03094595823356e-05,0.234912158266833,21092.674,3,23226,98750.51,98442,99084,98790.248,98476,99119,43,500
1e+05,0,1825,0.220003964486774,0.218725337942938,0.221059928731686,0.00340951564821821,0.239231442002842,24148.852,374,26259,109720.198,109373,110053,109765.74,109426,110088,15,500
