"initpop","epsilon","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,0.5,1825,0.495434482767134,0.471317403302307,0.517847630362557,9.03342366757001e-05,0.615223145021447,5428.14465408805,1,6741,10558.0094339623,10415,10690,10956.7987421384,10871,11070,318,318
20000,0.5,1825,0.530570121729567,0.515763748344718,0.543993956477686,4.53802868034126e-05,0.607589163550123,11627.6423690205,1,13322,21117.0501138952,20958,21315,21914.6810933941,21766,22074,439,439
30000,0.5,1825,0.543666572112976,0.532382733492926,0.555139299333808,3.03573054855651e-05,0.604510684798446,17870.7295081967,1,19915,31673.5184426229,31472,31920,32870.7766393443,32697,33053,488,488
40000,0.5,1825,0.560067772012115,0.550908130368667,0.568369847095449,2.28206298493838e-05,0.606693416013132,24545.404040404,1,26612,42227.7555555556,42009,42474,43826.7757575758,43609,44029,495,495
50000,0.5,1825,0.57721267090437,0.573484812560789,0.579833903870182,3.65003467532942e-05,0.615823027601702,31623.2108433735,2,33712,52785.9196787149,52522,53010,54786.156626506,54548,55015,498,498
60000,0.5,1825,0.575488057486152,0.569916518261449,0.580098949872249,3.03762093528349e-05,0.610521514368253,37834.4337349398,2,40154,63343.1224899598,63078,63598,65743.3734939759,65499,66007,498,498
70000,0.5,1825,0.580357086674981,0.577471872943187,0.582073982220608,5.2259573300584e-05,0.610670493086355,44513.792,4,46814,73897.778,73587,74158,76700.506,76426,76961,500,500
80000,0.5,1825,0.581459507199068,0.578605530087765,0.583188687471071,3.41993365328713e-05,0.616995790410349,50969.386,3,54084,84455.434,84146,84759,87657.82,87389,87942,500,500
90000,0.5,1825,0.583810732951321,0.582997667036599,0.584654669605725,0.561120964881164,0.626572080060806,57572.626,55363,61827,95012.7,94663,95362,98615.322,98288,98936,500,500
1e+05,0.5,1825,0.585164693812235,0.58425381450763,0.58604145747901,0.55985401459854,0.620957368195378,64117.772,61360,68065,105568.766,105226,105889,109572.184,109247,109888,500,500
150000,0.5,1825,0.590829615050078,0.589648181860568,0.59203608729486,0.567965536544406,0.634526854219949,97108.048,93344,104202,158349.036,157922,158755,164358.888,163976,164782,491,500
2e+05,0.5,1825,0.597151267582759,0.595697135014305,0.598585776997524,0.567364394866084,0.635950752393981,130863.19,124305,139464,211131.562,210598,211689,219146.102,218682,219620,455,500
250000,0.5,1825,0.603756851531373,0.602163780037458,0.605432997608872,0.569632854892351,0.636877323963211,165388.898,156207,174650,263909.67,263309,264462,273933.062,273429,274455,386,500
3e+05,0.5,1825,0.610530288738062,0.608890749983819,0.612041977357864,0.5718885554246,0.636843770535693,200693.602,188073,209328,316687.85,316069,317264,328720.22,328154,329283,282,500
350000,0.5,1825,0.616915547902555,0.61557759862834,0.618218495486688,0.572565762722467,0.634072270563639,236591.726,219666,243239,369464.476,368774,370162,383507.362,382912,384152,185,500
4e+05,0.5,1825,0.619961046961717,0.618776238961888,0.621109072882195,0.573006815262355,0.63407199182243,271724.796,251138,277896,422241.602,421505,422911,438293.446,437627,438976,127,500
450000,0.5,1825,0.622367902028066,0.621342108303061,0.623449365080983,0.574560495960985,0.635410582165109,306877.962,283225,313293,475020.036,474287,475787,493081.244,492405,493779,84,500
5e+05,0.5,1825,0.625042167436569,0.624258036838289,0.625763396877643,0.575984014890239,0.633289702121134,342440.618,315645,347120,527796.366,526980,528609,547867.842,547150,548610,39,500
550000,0.5,1825,0.626707966725501,0.626223096121781,0.627177331797325,0.5865612202416,0.636473123416792,377688.43,353636,383673,580572.428,579719,581428,602654.536,601904,603458,16,500
6e+05,0.5,1825,0.626924481617215,0.626328297911348,0.627440074667342,0.581244439713184,0.636933124267381,412164.018,382206,418395,633348.05,632486,634198,657437.994,656724,658203,12,500
