"initpop","gamma","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,1.5e-05,1825,0.0204886799686188,0.0180389948503133,0.0230292640514368,9.03342366757001e-05,0.113738429108239,224.449685534591,1,1241,10568.286163522,10441,10690,10957.5974842767,10873,11070,318,318
20000,1.5e-05,1825,0.0161457440654518,0.0145683234701525,0.0176009486875151,4.53802868034126e-05,0.102343857084114,353.854214123007,1,2240,21139.4214123007,20958,21315,21916.6605922551,21767,22074,439,439
30000,1.5e-05,1825,0.0194730224161289,0.017707276269924,0.0211824623936153,3.02773404384159e-05,0.088333535770679,640.165983606557,1,2909,31707.0758196721,31481,31890,32873.7581967213,32699,33054,488,488
40000,1.5e-05,1825,0.0260841909655549,0.0240953314861302,0.0281953966877855,2.28086581666401e-05,0.108154369308716,1143.21212121212,1,4739,42275.4,42031,42520,43830.9717171717,43617,44037,493,495
50000,1.5e-05,1825,0.0357687952583184,0.0332723070254542,0.0382911419672386,1.82238988209137e-05,0.107089347706925,1959.89959839357,1,5861,52844.8995983936,52572,53081,54791.4598393574,54557,55026,477,498
60000,1.5e-05,1825,0.0458122392252278,0.0430024160212423,0.0484857663963366,4.56475099283334e-05,0.10083829055668,3012.30722891566,3,6628,63412.546184739,63135,63725,65749.4558232932,65517,66012,436,498
70000,1.5e-05,1825,0.0697981721816346,0.067133533089434,0.0725645713532309,5.21226968283339e-05,0.106417557271758,5353.908,4,8185,73977.448,73669,74249,76707.824,76437,76963,277,500
80000,1.5e-05,1825,0.0747937500988032,0.072502928444052,0.0769768440186409,0.000707673693942541,0.0985390256381104,6556.888,62,8667,84545.438,84225,84889,87666.276,87398,87955,192,500
90000,1.5e-05,1825,0.076242901740393,0.0742248858234373,0.0781823442676702,0.000364365093824012,0.0959147424511545,7519.452,36,9450,95113.592,94752,95450,98624.77,98301,98941,156,500
1e+05,1.5e-05,1825,0.0782201346575433,0.0765856902007282,0.0797111121311133,7.29773861324722e-05,0.0968172184462472,8571.52,8,10598,105679.188,105316,106033,109582.37,109261,109901,96,500
150000,1.5e-05,1825,0.0818343212783994,0.0813904216831894,0.0822035379881885,0.00309767096526835,0.0888562746256295,13451.502,509,14591,158519.102,158083,158960,164374.776,163995,164798,3,500
2e+05,1.5e-05,1825,0.0805780761695552,0.080424244330096,0.0807299417244508,0.0755216294275194,0.0864431746147567,17660.06,16552,18955,211358.826,210831,211877,219167.108,218721,219633,0,500
250000,1.5e-05,1825,0.0780070290994866,0.0778757615281646,0.0781239616295118,0.0733282993539726,0.0824413323792696,21370.7,20102,22582,264197.76,263603,264804,273958.824,273460,274470,0,500
3e+05,1.5e-05,1825,0.0777372568038355,0.0776102359892453,0.077856020944859,0.0738638782946161,0.0814471519497383,25556.278,24286,26783,317039.11,316426,317712,328752.064,328201,329308,0,500
350000,1.5e-05,1825,0.0776161754996079,0.0775074486577571,0.0777237373970218,0.0738760011154635,0.0817884746681399,29769.222,28346,31386,369877.796,369233,370579,383544.29,382968,384175,0,500
