"initpop","omega","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,440,1825,0.400134280179826,0.380091556855789,0.41775784673552,9.03342366757001e-05,0.531090444930708,4383.89308176101,1,5827,10558.5157232704,10425,10690,10956.8490566038,10871,11070,318,318
20000,440,1825,0.473273128705319,0.459771125743021,0.485991079382845,4.53802868034126e-05,0.603573064590014,10371.8769931663,1,13176,21116.3075170843,20960,21315,21914.6104783599,21766,22073,439,439
30000,440,1825,0.509528533524032,0.499890885664993,0.518793004671046,3.03573054855651e-05,0.613362108270768,16748.5327868852,1,20179,31671.8360655738,31490,31891,32870.7930327869,32698,33053,488,488
40000,440,1825,0.545932500718563,0.535123953375662,0.554965914296175,2.2806577416927e-05,0.645167904497198,23926.1757575758,1,28319,42225.2666666667,41979,42474,43827.004040404,43608,44029,494,495
50000,440,1825,0.575964344000206,0.572117285155104,0.579569239909463,3.64803735590252e-05,0.650370181261169,31555.1305220884,2,35665,52781.1044176707,52507,52984,54786.313253012,54548,55015,488,498
60000,440,1825,0.595258434060502,0.590960982621115,0.599242111751411,3.04316732855556e-05,0.659622446025627,39134.6184738956,2,43399,63336.4558232932,63072,63590,65743.59437751,65500,66008,480,498
70000,440,1825,0.607554756289878,0.605257683116626,0.610253287726261,0.477065894808209,0.660577751102529,46600.09,36590,50651,73891.92,73600,74177,76700.962,76423,76960,439,500
80000,440,1825,0.617806209902483,0.615425246719185,0.620153136786251,0.521920620437956,0.663206761642961,54155.92,45762,58144,84446.312,84164,84741,87658.264,87389,87943,423,500
90000,440,1825,0.625110243849844,0.621275040759393,0.628111213717229,2.02425052124451e-05,0.668806539288467,61645.336,2,65947,95000.522,94646,95310,98615.592,98290,98933,376,500
1e+05,440,1825,0.630705809917812,0.628531289446835,0.632851729081616,0.545113949960707,0.666389783940193,69108.26,59654,73005,105555.424,105195,105889,109572.602,109251,109888,362,500
150000,440,1825,0.651136285148492,0.649565733283685,0.652649314121694,0.575198130090209,0.690565532843963,107020.332,94497,113549,158324.524,157874,158713,164359.536,163976,164784,221,500
2e+05,440,1825,0.660686919988232,0.659524238476383,0.661888529366214,0.597670283578007,0.693100992485597,144787.49,131093,151821,211094.926,210629,211566,219146.966,218691,219613,133,500
250000,440,1825,0.664624333468533,0.663466353423482,0.665808938367877,0.605613753330657,0.693736600474074,182063.266,165920,189943,263863.918,263253,264379,273934.01,273435,274451,109,500
3e+05,440,1825,0.670054863964976,0.668983070507851,0.671098921353377,0.624244046677456,0.697533944775456,220261.798,205204,229225,316647.39,316005,317205,328722.306,328158,329282,66,500
350000,440,1825,0.671709646896951,0.670660836877934,0.672681204251674,0.617478558595207,0.695289082577894,257607.504,236795,266756,369424.232,368739,370084,383510.186,382919,384156,61,500
4e+05,440,1825,0.674388799403462,0.673552627605781,0.675361188568305,0.632490502186891,0.696913719614403,295582.448,277361,305589,422198.794,421483,422862,438297.03,437637,438981,47,500
450000,440,1825,0.675591483659639,0.674672816646784,0.676537647334208,0.638172748646439,0.699395724430867,333124.014,314593,344793,474973.34,474210,475681,493085.104,492416,493787,29,500
5e+05,440,1825,0.677691413543517,0.676818422644153,0.678620666244866,0.64559223201868,0.695397359754039,371288.184,354179,381116,527746.254,526903,528543,547872.276,547153,548614,17,500
550000,440,1825,0.678213900990515,0.677329878057828,0.679080253685798,0.6396148236157,0.698329062699538,408731.74,385453,421061,580517.988,579646,581331,602659.322,601911,603459,25,500
6e+05,440,1825,0.678822779379406,0.677937809090632,0.679674705941754,0.622646331334483,0.698030681163189,446287.88,409314,458981,633291.226,632446,634074,657443.698,656643,658149,16,500
650000,440,1825,0.681089933309988,0.680327039795833,0.681874738282271,0.647769702111879,0.697504950939731,485090.804,461133,496966,686057.084,685277,687049,712227.282,711507,712971,13,500
7e+05,440,1825,0.679799792095944,0.678950966395342,0.680631567351916,0.649625194437713,0.695502731364353,521421.166,498396,533589,738842.192,737681,739778,767021.918,766079,768093,12,500
750000,440,1825,0.681000816726779,0.680274745008676,0.681765515459787,0.655793931887339,0.697994670300921,559647.554,538999,573619,791605.866,790626,792907,821801.826,820968,822770,15,500
8e+05,440,1825,0.681794993440266,0.68101119823869,0.682634135421029,0.655720108184196,0.6991641547973,597663.492,574839,613053,844391.234,843573,845207,876603.264,875823,877561,11,500
850000,440,1825,0.682082182746606,0.681285465377203,0.682851977139749,0.657441868955757,0.697683882744551,635283.15,612248,649753,897163.862,896394,898272,931388.162,930483,932199,4,500
9e+05,440,1825,0.68243248105421,0.681675490959287,0.683160727072344,0.65810406546937,0.696545541392554,672997.932,648963,686835,949935.628,948859,951234,986174.972,985352,987224,5,500
950000,440,1825,0.682751762717921,0.681980127304892,0.683486395517079,0.655154554478183,0.696108179863046,710709.238,681820,724705,1002693.914,1001566,1003963,1040947.99,1039931,1041903,3,500
1e+06,440,1825,0.683011080355149,0.682339886487465,0.683734490579609,0.657136832150092,0.69769541667009,748408.604,719852,764213,1055481.154,1054470,1056719,1095749.104,1094798,1096774,2,500
1100000,440,1825,0.683831517585425,0.683080643253536,0.684516957148604,0.661437918256321,0.696914635795601,824223.804,797175,839971,1161005.498,1159970,1162365,1205302.25,1204374,1206242,0,500
1200000,440,1825,0.684287302951161,0.683528944810228,0.68494859978721,0.660470852478237,0.698616795371932,899759.696,868644,918876,1266558.12,1265333,1267663,1314885.66,1313816,1315911,0,500
1300000,440,1825,0.684788783347045,0.684112518437496,0.685417128905736,0.659391622118774,0.698293482777597,975445.528,939548,994828,1372093.606,1370670,1373172,1424447.212,1423406,1425446,0,500
1400000,440,1825,0.684920854933688,0.684324575313448,0.68552385966285,0.659804963267647,0.695225029553814,1050680.704,1012187,1066542,1477635.346,1476375,1478967,1534017.69,1532983,1535169,1,500
1500000,440,1825,0.685783818765594,0.685191357015757,0.686328210585635,0.662794455321177,0.69889597034346,1127155.674,1089078,1148906,1583187.344,1581852,1584385,1643601.958,1642452,1644656,1,500
1600000,440,1825,0.685805043875743,0.68521871756899,0.686429261477591,0.663237357166778,0.69676042949301,1202329.112,1162543,1221127,1688721.354,1687233,1689833,1753164.216,1752082,1754300,0,500
1700000,440,1825,0.685490557008991,0.684889295624458,0.686083137343526,0.663969869750561,0.696909683785342,1276885.61,1236697,1298149,1794263.308,1792719,1795606,1862732.216,1861464,1864128,0,500
1800000,440,1825,0.685658614600873,0.685085673718571,0.686249825710277,0.665092988752951,0.697389797740119,1352324.984,1312144,1375782,1899805.562,1898414,1901310,1972301,1971064,1973528,1,500
1900000,440,1825,0.685624390300451,0.685003975125553,0.686172410771804,0.662476705766886,0.695862798035169,1427394.516,1379672,1448794,2005366.93,2003898,2006810,2081890.014,2080511,2083240,1,500
