"initpop","tau_I","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
10000,0.1,1825,0.253175295786409,0.238175608279677,0.267258033282274,9.03342366757001e-05,0.471054790773999,2774.0534591195,1,5167,10563.2106918239,10445,10690,10957.2924528302,10871,11070,318,318
20000,0.1,1825,0.336841759561947,0.323109066855585,0.348764398052474,4.53802868034126e-05,0.534988816360068,7382.12756264237,1,11720,21126.7129840547,20965,21315,21915.7653758542,21767,22074,428,439
30000,0.1,1825,0.378148510481,0.366498261621551,0.388651766202304,3.03573054855651e-05,0.521310675168563,12430.5450819672,1,17087,31683.7254098361,31457,31886,32872.3954918033,32698,33053,376,488
40000,0.1,1825,0.440066003116426,0.431486144365698,0.447039117741674,2.28195883346264e-05,0.539036847865742,19287.6929292929,1,23640,42239.6747474747,41982,42465,43829.0161616162,43610,44032,275,495
50000,0.1,1825,0.448134764181565,0.44201832558603,0.453714416928862,1.82705132187163e-05,0.520391398006499,24552.5562248996,1,28506,52801.656626506,52585,53007,54789.1927710843,54549,55018,184,498
60000,0.1,1825,0.488340143576065,0.484541934699343,0.491677371705787,0.257697039658551,0.560482581077582,32106.5883534137,16966,36794,63355.8032128514,63095,63645,65746.7409638554,65513,66010,103,498
70000,0.1,1825,0.492618304337905,0.489990527013226,0.494885204655072,0.353524674680554,0.53879861237904,37786.33,27086,41314,73913.004,73572,74187,76704.63,76428,76961,45,500
80000,0.1,1825,0.512115000487876,0.510045388428864,0.51409556923463,0.315835750336858,0.545680589456395,44893.062,27659,47842,84469.086,84163,84812,87662.504,87391,87954,21,500
90000,0.1,1825,0.514528118990632,0.512652506084377,0.516193006305261,0.32229878525254,0.548814511956334,50742.902,31759,54095,95025.768,94698,95377,98620.256,98298,98935,8,500
1e+05,0.1,1825,0.521785866840437,0.520754676193721,0.52296100955177,0.4263495803538,0.550008671760185,57176.12,46684,60254,105582.53,105268,105941,109577.832,109257,109895,3,500
150000,0.1,1825,0.531112425303429,0.530440161244384,0.531777341214771,0.505746077518814,0.552163809570158,87297.55,83131,90768,158367.618,157959,158782,164367.47,163989,164786,0,500
2e+05,0.1,1825,0.534712348515477,0.534168906169321,0.535284060744574,0.516468425062849,0.550510607022045,117186.296,113198,120591,211158.538,210687,211630,219157.614,218709,219625,0,500
